tiempo,ángulo
'0:0:5.15,154.54
'0:0:5.16,153.49
'0:0:5.17,151.38
'0:0:5.18,149.35
'0:0:5.19,148.39
'0:0:5.2,146.54
'0:0:5.21,144.78
'0:0:5.22,143.82
'0:0:5.23,142.06
'0:0:5.24,140.47
'0:0:5.25,139.60
'0:0:5.26,138.01
'0:0:5.27,136.52
'0:0:5.28,135.82
'0:0:5.29,134.50
'0:0:5.3,133.18
'0:0:5.31,132.65
'0:0:5.32,131.51
'0:0:5.33,130.54
'0:0:5.34,130.10
'0:0:5.35,129.31
'0:0:5.36,128.69
'0:0:5.37,128.43
'0:0:5.38,127.99
'0:0:5.39,127.64
'0:0:5.4,127.46
'0:0:5.41,127.38
'0:0:5.42,127.29
'0:0:5.43,127.29
'0:0:5.44,127.20
'0:0:5.45,127.20
'0:0:5.46,127.29
'0:0:5.47,127.29
'0:0:5.48,127.46
'0:0:5.49,127.64
'0:0:5.5,127.90
'0:0:5.51,128.26
'0:0:5.52,128.52
'0:0:5.53,129.13
'0:0:5.54,129.84
'0:0:5.55,130.28
'0:0:5.56,131.24
'0:0:5.57,132.39
'0:0:5.58,132.91
'0:0:5.59,134.32
'0:0:5.6,135.73
'0:0:5.61,136.43
'0:0:5.62,137.93
'0:0:5.63,139.51
'0:0:5.64,141.97
'0:0:5.65,142.76
'0:0:5.66,144.43
'0:0:5.67,145.31
'0:0:5.68,146.36
'0:0:5.69,148.30
'0:0:5.7,149.27
'0:0:5.71,151.20
'0:0:5.72,153.31
'0:0:5.73,154.45
'0:0:5.74,156.56
'0:0:5.75,158.76
'0:0:5.76,159.81
'0:0:5.77,162.10
'0:0:5.78,164.39
'0:0:5.79,165.44
'0:0:5.8,167.73
'0:0:5.81,169.84
'0:0:5.82,170.89
'0:0:5.83,173.09
'0:0:5.84,175.20
'0:0:5.85,176.25
'0:0:5.86,178.36
'0:0:5.87,180.47
'0:0:5.88,181.53
'0:0:5.89,183.55
'0:0:5.9,185.57
'0:0:5.91,186.54
'0:0:5.92,188.47
'0:0:5.93,190.32
'0:0:5.94,191.20
'0:0:5.95,192.87
'0:0:5.96,194.45
'0:0:5.97,195.15
'0:0:5.98,196.65
'0:0:5.99,197.97
'0:0:6.0,198.67
'0:0:6.01,201.13
'0:0:6.02,201.66
'0:0:6.03,201.66
'0:0:6.04,202.71
'0:0:6.05,203.68
'0:0:6.06,204.03
'0:0:6.07,204.82
'0:0:6.08,205.53
'0:0:6.09,205.88
'0:0:6.1,206.41
'0:0:6.11,206.76
'0:0:6.12,206.93
'0:0:6.13,207.11
'0:0:6.14,207.20
'0:0:6.15,207.29
'0:0:6.16,207.29
'0:0:6.17,207.29
'0:0:6.18,207.29
'0:0:6.19,207.29
'0:0:6.2,207.20
'0:0:6.21,207.20
'0:0:6.22,206.85
'0:0:6.23,206.41
'0:0:6.24,206.14
'0:0:6.25,205.53
'0:0:6.26,204.91
'0:0:6.27,204.56
'0:0:6.28,202.63
'0:0:6.29,202.01
'0:0:6.3,201.48
'0:0:6.31,200.25
'0:0:6.32,199.64
'0:0:6.33,198.93
'0:0:6.34,197.53
'0:0:6.35,196.03
'0:0:6.36,195.24
'0:0:6.37,193.66
'0:0:6.38,192.08
'0:0:6.39,191.29
'0:0:6.4,189.79
'0:0:6.41,188.12
'0:0:6.42,187.24
'0:0:6.43,185.31
'0:0:6.44,183.37
'0:0:6.45,182.41
'0:0:6.46,180.39
'0:0:6.47,178.19
'0:0:6.48,177.13
'0:0:6.49,174.94
'0:0:6.5,172.91
'0:0:6.51,171.95
'0:0:6.52,169.92
'0:0:6.53,167.64
'0:0:6.54,166.58
'0:0:6.55,164.47
'0:0:6.56,162.36
'0:0:6.57,161.40
'0:0:6.58,159.46
'0:0:6.59,157.53
'0:0:6.6,156.47
'0:0:6.61,154.45
'0:0:6.62,152.34
'0:0:6.63,151.38
'0:0:6.64,149.53
'0:0:6.65,147.77
'0:0:6.66,146.89
'0:0:6.67,145.31
'0:0:6.68,143.90
'0:0:6.69,143.20
'0:0:6.7,141.79
'0:0:6.71,140.39
'0:0:6.72,139.68
'0:0:6.73,138.28
'0:0:6.74,137.13
'0:0:6.75,136.52
'0:0:6.76,135.46
'0:0:6.77,134.58
'0:0:6.78,134.15
'0:0:6.79,133.27
'0:0:6.8,132.56
'0:0:6.81,132.21
'0:0:6.82,131.68
'0:0:6.83,131.24
'0:0:6.84,131.16
'0:0:6.85,130.89
'0:0:6.86,130.80
'0:0:6.87,130.72
'0:0:6.88,130.72
'0:0:6.89,130.72
'0:0:6.9,130.72
'0:0:6.91,130.89
'0:0:6.92,131.24
'0:0:6.93,131.51
'0:0:6.94,131.68
'0:0:6.95,131.77
'0:0:6.96,132.30
'0:0:6.97,132.56
'0:0:6.98,133.18
'0:0:6.99,133.62
'0:0:7.0,134.50
'0:0:7.01,135.99
'0:0:7.02,137.22
'0:0:7.03,137.22
'0:0:7.04,138.45
'0:0:7.05,139.16
'0:0:7.06,140.56
'0:0:7.07,141.97
'0:0:7.08,142.67
'0:0:7.09,144.25
'0:0:7.1,145.84
'0:0:7.11,146.63
'0:0:7.12,148.21
'0:0:7.13,149.88
'0:0:7.14,150.76
'0:0:7.15,152.52
'0:0:7.16,154.36
'0:0:7.17,155.33
'0:0:7.18,157.27
'0:0:7.19,159.29
'0:0:7.2,160.34
'0:0:7.21,162.36
'0:0:7.22,164.39
'0:0:7.23,165.44
'0:0:7.24,167.46
'0:0:7.25,169.40
'0:0:7.26,170.36
'0:0:7.27,172.30
'0:0:7.28,174.23
'0:0:7.29,175.20
'0:0:7.3,177.13
'0:0:7.31,178.98
'0:0:7.32,180.03
'0:0:7.33,181.88
'0:0:7.34,183.73
'0:0:7.35,184.61
'0:0:7.36,186.28
'0:0:7.37,187.86
'0:0:7.38,188.56
'0:0:7.39,190.23
'0:0:7.4,191.90
'0:0:7.41,192.69
'0:0:7.42,194.10
'0:0:7.43,195.42
'0:0:7.44,196.03
'0:0:7.45,197.26
'0:0:7.46,198.41
'0:0:7.47,198.85
'0:0:7.48,199.81
'0:0:7.49,200.60
'0:0:7.5,200.96
'0:0:7.51,201.66
'0:0:7.52,202.28
'0:0:7.53,202.54
'0:0:7.54,203.07
'0:0:7.55,203.51
'0:0:7.56,203.86
'0:0:7.57,203.95
'0:0:7.58,204.12
'0:0:7.59,204.12
'0:0:7.6,204.21
'0:0:7.61,204.21
'0:0:7.62,204.21
'0:0:7.63,204.21
'0:0:7.64,204.21
'0:0:7.65,204.21
'0:0:7.66,204.03
'0:0:7.67,203.59
'0:0:7.68,203.24
'0:0:7.69,202.63
'0:0:7.7,201.84
'0:0:7.71,201.48
'0:0:7.72,200.69
'0:0:7.73,199.73
'0:0:7.74,199.29
'0:0:7.75,198.23
'0:0:7.76,197.00
'0:0:7.77,196.30
'0:0:7.78,194.98
'0:0:7.79,193.57
'0:0:7.8,192.87
'0:0:7.81,191.46
'0:0:7.82,189.97
'0:0:7.83,189.09
'0:0:7.84,187.68
'0:0:7.85,186.10
'0:0:7.86,185.31
'0:0:7.87,183.55
'0:0:7.88,181.62
'0:0:7.89,180.56
'0:0:7.9,178.63
'0:0:7.91,176.69
'0:0:7.92,175.73
'0:0:7.93,173.79
'0:0:7.94,171.86
'0:0:7.95,170.80
'0:0:7.96,168.96
'0:0:7.97,167.02
'0:0:7.98,166.14
'0:0:7.99,164.30
'0:0:8.0,162.36
'0:0:8.01,159.46
'0:0:8.02,157.62
'0:0:8.03,157.62
'0:0:8.04,156.65
'0:0:8.05,154.80
'0:0:8.06,152.87
'0:0:8.07,152.08
'0:0:8.08,150.41
'0:0:8.09,148.83
'0:0:8.1,148.03
'0:0:8.11,146.63
'0:0:8.12,145.22
'0:0:8.13,144.61
'0:0:8.14,143.38
'0:0:8.15,142.14
'0:0:8.16,141.53
'0:0:8.17,140.47
'0:0:8.18,139.24
'0:0:8.19,138.80
'0:0:8.2,136.96
'0:0:8.21,136.61
'0:0:8.22,136.25
'0:0:8.23,135.55
'0:0:8.24,135.29
'0:0:8.25,135.02
'0:0:8.26,134.58
'0:0:8.27,134.23
'0:0:8.28,134.15
'0:0:8.29,133.88
'0:0:8.3,133.79
'0:0:8.31,133.79
'0:0:8.32,133.79
'0:0:8.33,133.79
'0:0:8.34,133.79
'0:0:8.35,133.97
'0:0:8.36,134.23
'0:0:8.37,134.32
'0:0:8.38,134.58
'0:0:8.39,135.02
'0:0:8.4,135.29
'0:0:8.41,135.90
'0:0:8.42,136.61
'0:0:8.43,136.96
'0:0:8.44,137.75
'0:0:8.45,138.72
'0:0:8.46,139.24
'0:0:8.47,140.39
'0:0:8.48,141.62
'0:0:8.49,142.14
'0:0:8.5,143.55
'0:0:8.51,144.96
'0:0:8.52,145.57
'0:0:8.53,146.98
'0:0:8.54,148.39
'0:0:8.55,149.18
'0:0:8.56,150.67
'0:0:8.57,152.25
'0:0:8.58,153.05
'0:0:8.59,154.80
'0:0:8.6,156.47
'0:0:8.61,157.35
'0:0:8.62,159.20
'0:0:8.63,161.05
'0:0:8.64,162.01
'0:0:8.65,163.86
'0:0:8.66,165.70
'0:0:8.67,166.58
'0:0:8.68,168.43
'0:0:8.69,170.28
'0:0:8.7,171.16
'0:0:8.71,173.00
'0:0:8.72,174.76
'0:0:8.73,175.64
'0:0:8.74,177.40
'0:0:8.75,179.07
'0:0:8.76,180.03
'0:0:8.77,181.62
'0:0:8.78,183.37
'0:0:8.79,184.17
'0:0:8.8,185.75
'0:0:8.81,187.33
'0:0:8.82,188.03
'0:0:8.83,189.35
'0:0:8.84,191.37
'0:0:8.85,192.61
'0:0:8.86,193.13
'0:0:8.87,193.66
'0:0:8.88,194.71
'0:0:8.89,195.24
'0:0:8.9,196.21
'0:0:8.91,196.65
'0:0:8.92,197.53
'0:0:8.93,198.32
'0:0:8.94,198.67
'0:0:8.95,199.37
'0:0:8.96,199.99
'0:0:8.97,200.25
'0:0:8.98,200.69
'0:0:8.99,200.96
'0:0:9.0,201.13
'0:0:9.01,201.31
'0:0:9.02,201.31
'0:0:9.03,201.31
'0:0:9.04,201.31
'0:0:9.05,201.31
'0:0:9.06,201.31
'0:0:9.07,201.31
'0:0:9.08,201.22
'0:0:9.09,201.13
'0:0:9.1,200.69
'0:0:9.11,200.17
'0:0:9.12,199.90
'0:0:9.13,199.29
'0:0:9.14,198.76
'0:0:9.15,198.32
'0:0:9.16,197.44
'0:0:9.17,196.56
'0:0:9.18,196.03
'0:0:9.19,194.89
'0:0:9.2,193.75
'0:0:9.21,193.13
'0:0:9.22,191.81
'0:0:9.23,190.50
'0:0:9.24,189.79
'0:0:9.25,188.39
'0:0:9.26,187.15
'0:0:9.27,186.45
'0:0:9.28,184.96
'0:0:9.29,183.37
'0:0:9.3,182.58
'0:0:9.31,180.91
'0:0:9.32,179.07
'0:0:9.33,178.28
'0:0:9.34,176.52
'0:0:9.35,174.67
'0:0:9.36,173.70
'0:0:9.37,171.86
'0:0:9.38,170.10
'0:0:9.39,169.13
'0:0:9.4,167.37
'0:0:9.41,165.70
'0:0:9.42,164.83
'0:0:9.43,163.16
'0:0:9.44,161.40
'0:0:9.45,160.61
'0:0:9.46,158.85
'0:0:9.47,157.18
'0:0:9.48,154.54
'0:0:9.49,153.66
'0:0:9.5,152.25
'0:0:9.51,151.38
'0:0:9.52,150.67
'0:0:9.53,149.27
'0:0:9.54,148.56
'0:0:9.55,147.33
'0:0:9.56,146.10
'0:0:9.57,145.49
'0:0:9.58,144.34
'0:0:9.59,143.29
'0:0:9.6,142.76
'0:0:9.61,141.79
'0:0:9.62,140.91
'0:0:9.63,140.47
'0:0:9.64,139.60
'0:0:9.65,138.89
'0:0:9.66,138.54
'0:0:9.67,137.93
'0:0:9.68,137.40
'0:0:9.69,137.22
'0:0:9.7,136.87
'0:0:9.71,136.61
'0:0:9.72,136.52
'0:0:9.73,136.43
'0:0:9.74,136.34
'0:0:9.75,136.34
'0:0:9.76,136.43
'0:0:9.77,136.52
'0:0:9.78,136.52
'0:0:9.79,136.78
'0:0:9.8,136.96
'0:0:9.81,137.13
'0:0:9.82,137.49
'0:0:9.83,138.01
'0:0:9.84,138.28
'0:0:9.85,138.89
'0:0:9.86,139.60
'0:0:9.87,140.04
'0:0:9.88,140.83
'0:0:9.89,141.88
'0:0:9.9,142.41
'0:0:9.91,143.55
'0:0:9.92,144.69
'0:0:9.93,145.40
'0:0:9.94,146.72
'0:0:9.95,148.03
'0:0:9.96,148.65
'0:0:9.97,149.97
'0:0:9.98,151.38
'0:0:9.99,152.08
'0:0:10.0,153.49
